clip_id,rater_id,overall_mos,echo_annoyance_mos,nearend_naturalness_mos,acceptability_binary,confidence,headphone_passed,calibration_confirmed,submitted_at,system,item_uid,utt_id,scenario_bucket,task_type
hr_a993c3f0b6c0b0,returned_human_item_summary_v1,2.4,4.16,1.73,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Echo,low_ser_overlap__e0d46cbd150da7bf,fileid_445,low_ser_overlap,rating
hr_cebd4b1d8ec7b9,returned_human_item_summary_v1,2.4,4.4,1.49,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,low_ser_overlap__3a8cd8291a2f1a57,fileid_432,low_ser_overlap,rating
hr_a63a808fddea25,returned_human_item_summary_v1,4.2,3.1,5.0,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,far_end_single_talk__c3f263829ad53168,farend-singletalk__eb6d9058__root__9TUrXnKCGEGzklkn3B4XjA_farend-singletalk,far_end_single_talk,rating
hr_4898d9ed19b9ab,returned_human_item_summary_v1,4.52,4.67,4.22,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,double_talk__dc393d5053797dce,doubletalk__f03ba73a__root__KVbGTrqdIU0FIbN1ZuX68g_doubletalk,double_talk,rating
hr_f36a0f69a552b2,returned_human_item_summary_v1,2.4,2.88,1.85,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,noisy_double_talk__0b324e7d44377dd6,fileid_97,noisy_double_talk,rating
hr_cd2800982fba4a,returned_human_item_summary_v1,3.93,3.7,3.81,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,echo_path_motion__604f54c33e98bfeb,doubletalk__f03ba73a__root__08ec6dc2-c8a8-423f-a5b1-73affaef4cfa_doubletalk-with-movement,echo_path_motion,rating
hr_f51608586ee442,returned_human_item_summary_v1,4.5,5.0,3.88,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,near_end_single_talk__ff3be81b2951c71a,fileid_129,near_end_single_talk,rating
hr_650419058b4f78,returned_human_item_summary_v1,3.53,3.12,3.46,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,echo_path_motion__d13d5d45141a872f,doubletalk__f03ba73a__root__11831959-16d3-4240-b4d7-6c3f19936718_doubletalk-with-movement,echo_path_motion,rating
hr_0529e94346ea39,returned_human_item_summary_v1,4.47,4.75,4.05,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,double_talk__6624c4ebc90ade47,doubletalk__f03ba73a__root__iQLkmqqiZkijw0RrsbLYlQ_doubletalk,double_talk,rating
hr_3ba658f95b9e82,returned_human_item_summary_v1,2.4,3.83,1.7,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,echo_path_motion__d13d5d45141a872f,doubletalk__f03ba73a__root__11831959-16d3-4240-b4d7-6c3f19936718_doubletalk-with-movement,echo_path_motion,rating
hr_b14e50aa1963f2,returned_human_item_summary_v1,3.91,4.62,2.89,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS public checkpoint transfer,double_talk__12b7b6c3f2118e02,doubletalk__f03ba73a__root__v000iTBmeEWxqSnlgG0dYg_doubletalk,double_talk,rating
hr_0ec7cc55a12234,returned_human_item_summary_v1,4.43,5.0,3.71,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,near_end_single_talk__e261cdf4019f72ed,fileid_197,near_end_single_talk,rating
hr_d9be7a915fbd67,returned_human_item_summary_v1,2.4,4.41,1.52,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,echo_path_motion__12025881922cf0b2,doubletalk__f03ba73a__root__7688e22a-bf62-4e86-9d74-882e52599b5b_doubletalk-with-movement,echo_path_motion,rating
hr_aeb747aef2e0ce,returned_human_item_summary_v1,2.4,3.6,1.62,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,double_talk__ca88d7d0c20a699a,doubletalk__f03ba73a__root__b598b326-384b-42ce-99ca-6d3fe128c111_doubletalk,double_talk,rating
hr_7e2503dae49bf8,returned_human_item_summary_v1,3.0,4.0,2.04,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,Deep Echo public checkpoint transfer,noisy_double_talk__3e7195c251ca3bcf,fileid_365,noisy_double_talk,rating
hr_abc5fbe183c65a,returned_human_item_summary_v1,2.4,3.98,1.88,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,low_ser_overlap__e7e2eb825aced58d,fileid_159,low_ser_overlap,rating
hr_09861648cb738f,returned_human_item_summary_v1,4.54,4.98,4.05,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,double_talk__63e2345becbf5a53,doubletalk__f03ba73a__root__31cfa60c-8aa2-441f-b7b6-e0db619ae909_doubletalk,double_talk,rating
hr_6baeb98655b27e,returned_human_item_summary_v1,3.49,3.43,3.06,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS public checkpoint transfer,echo_path_motion__12025881922cf0b2,doubletalk__f03ba73a__root__7688e22a-bf62-4e86-9d74-882e52599b5b_doubletalk-with-movement,echo_path_motion,rating
